,Frequency,EFddec,EFfc,acceptor_type,Type,rHO,rOO,tOHO,sOHQM,OH_bond_order
23,2385.175,0.063339407264997,0.125591347210214,OH-,water,1.69801699743826,2.71302144307484,174.207254431936,0.7037,0.7037
24,3533.092,0.04097584938881,0.076634851281882,OH-,hydroxide,3.0,3.5,100.0,0.887,0.887
25,3345.241,0.028123223943617,0.063884505250166,H2O,water,2.11272649790847,3.0672842664189,163.356746938987,0.7883,0.7883
26,3231.8740000000003,0.039060163199939,0.075792310239192,O2-,water,1.94649950649878,2.71393200329338,132.626045868011,0.7672,0.7672
27,3541.8500000000004,0.011583217720574,0.025689483031347,H2O,water,3.0,3.5,100.0,0.8459,0.8459
28,2569.517,0.070296582656298,0.133586641029594,O2-,water,1.67966840778173,2.60310976190018,149.42031373349,0.7102,0.7102
29,3540.6889999999994,0.010306182294453,0.022112789189875,H2O,water,3.0,3.5,100.0,0.8476,0.8476
30,2825.3099999999995,0.058545388476762,0.114282071402516,O2-,water,1.76251734882242,2.64854313948253,145.233162811183,0.7274,0.7274
31,3035.1310000000003,0.049599798260898,0.092501309761195,O2-,water,1.8232206438059,2.6600023895478,139.602412751736,0.7503,0.7503
32,3413.656,0.024931942290075,0.058214418554783,H2O,water,2.26720219188761,3.20034233387617,158.668106397818,0.7998,0.7998
33,2825.5009999999997,0.058561501110131,0.114298580132747,O2-,water,1.76231801400882,2.64816767977408,145.199879289649,0.7271,0.7271
34,3540.709,0.010344143216756,0.022191173243467,H2O,water,3.0,3.5,100.0,0.8471,0.8471
35,3040.2740000000003,0.049306859835374,0.09192974877815,O2-,water,1.82539873408524,2.66073942395718,139.444305186119,0.7506,0.7506
36,3413.9660000000003,0.024926755490562,0.058236990628841,H2O,water,2.2670706489212,3.20032065624681,158.714157577223,0.8,0.8
37,3039.4299999999994,0.087840386523485,0.156646588974343,OH-,hydroxide,1.85470369957037,2.63346908836994,132.885600410909,0.7537,0.7537
38,3525.7529999999997,0.012536615582863,0.027538545197053,H2O,water,3.0,3.5,100.0,0.8285,0.8285
39,3263.478,0.038019350575287,0.073414429673385,O2-,water,2.02289475477594,2.75335440526642,129.032891085992,0.7666,0.7666
40,3513.575,0.040938224214648,0.086049563987964,H2O,hydroxide,3.0,3.5,100.0,0.8746,0.8746
41,2957.7929999999997,0.05299366631233,0.106082341195325,O2-,water,1.80589977936208,2.66928673223766,142.757250342132,0.7359,0.7359
42,3531.2990000000004,0.01311813184937,0.02176028812333,OH-,water,3.0,3.5,100.0,0.8319,0.8319
43,2985.893,0.051726153694303,0.097560497471323,O2-,water,1.79170866744569,2.64921738330398,142.089122142366,0.7438,0.7438
44,3434.808,0.02302391266446,0.053058601962057,H2O,water,2.31313279048134,3.22913351184184,155.297681810533,0.8052,0.8052
45,3542.879,0.011350611060229,0.025190816809835,H2O,water,3.0,3.5,100.0,0.8459,0.8459
46,2533.314,0.070610419331973,0.13430444172304,O2-,water,1.67587396871006,2.60255820518965,149.908363333925,0.7101,0.7101
47,3542.8280000000004,0.011353231050793,0.025200705522491,H2O,water,3.0,3.5,100.0,0.8459,0.8459
48,2538.4359999999997,0.070422598914767,0.133899763161428,O2-,water,1.6769655556093,2.60265593100587,149.782869110899,0.7104,0.7104
49,3246.5110000000004,0.038411070408248,0.074606476709601,O2-,water,1.95979518003796,2.72146089367457,132.08279834582,0.7685,0.7685
50,3340.443,0.028488826850255,0.064750357798658,H2O,water,2.10836667565203,3.06413406111743,163.651453654857,0.7875,0.7875
51,3245.435,0.038464758029176,0.074695638078158,O2-,water,1.95849793538314,2.72058104643107,132.121198565614,0.7678,0.7678
52,3440.004,0.061864445600014,0.092716929840853,OH-,hydroxide,2.2243763035287,2.85861942725855,121.407715930679,0.8332,0.8332
53,3493.211,0.018491852563577,0.032755889110596,H2O,water,2.29808490332712,2.83030671104741,113.305367167611,0.8184,0.8184
54,3472.973,0.021896877084316,0.042027644708031,H2O,water,2.25514166430848,3.08558287412605,142.119788846969,0.8036,0.8036
55,2722.099,0.054403171366423,0.103213944894481,OH-,water,1.77193819842626,2.76766293699111,170.026388281242,0.7204,0.7204
56,3541.3480000000004,0.011621668123421,0.022155008446348,H2O,water,3.0,3.5,100.0,0.8366,0.8366
57,2729.638,0.064194485648376,0.12620500571464,O2-,water,1.73630919498804,2.64242713288371,147.737585754341,0.7187,0.7187
58,3520.896,0.038315557535548,0.074253735565101,H2O,hydroxide,3.0,3.5,100.0,0.9088,0.9088
59,3521.1270000000004,0.038297630699162,0.074314405762616,H2O,hydroxide,3.0,3.5,100.0,0.9088,0.9088
60,3430.768,0.062332907475597,0.093539782314403,OH-,hydroxide,2.20635545327583,2.85315167900341,122.425588413548,0.8321,0.8321
61,3541.7799999999997,0.011669794992838,0.022143987269477,H2O,water,3.0,3.5,100.0,0.8365,0.8365
62,2718.6269999999995,0.064773731361749,0.127404477124514,O2-,water,1.73089737197212,2.63776564139045,147.758634461324,0.7176,0.7176
63,2738.904,0.053812923280569,0.101727957430053,OH-,water,1.77860085890505,2.77294802165358,169.739281070422,0.7224,0.7224
64,2642.115,0.058857215021418,0.112222096685145,OH-,water,1.73354689469307,2.72900906900289,168.645774957943,0.7129,0.7129
65,3502.664,0.017495530877004,0.030546727713506,H2O,water,2.33581935348177,2.84403644384175,111.613724840567,0.8201,0.8201
66,2801.519,0.096270764780893,0.165016257960582,OH-,hydroxide,1.73956087887145,2.56049213295023,136.454805036152,0.7239,0.7239
67,3516.2299999999996,0.018390028381769,0.033414728829494,H2O,water,2.40400377460186,2.80688074112528,104.154052591358,0.8086,0.8086
68,3523.0710000000004,0.038752415114787,0.075188950200602,H2O,hydroxide,3.0,3.5,100.0,0.8816,0.8816
69,3037.566,0.094105742829146,0.160971827964831,OH-,hydroxide,1.86653567455862,2.60180717385051,128.261895223783,0.7207,0.7207
70,3515.6090000000004,0.015999252176088,0.028016222983849,OH-,water,3.0,3.5,100.0,0.8168,0.8168
71,3048.725,0.048734520052034,0.094969309644819,O2-,water,1.85011042267752,2.68329346350711,139.261039854594,0.7478,0.7478
72,3551.304,0.038919122089265,0.075828355622915,OH-,hydroxide,3.0,3.5,100.0,0.9,0.9
73,3513.9500000000003,0.062135852497744,0.079704529156506,,hydroxide,3.0,3.5,100.0,0.8221,0.8221
74,2849.237,0.052554851280368,0.096892418041739,OH-,water,1.78805743613006,2.76366923219838,164.171300266304,0.732,0.732
75,2847.986,0.05263124309038,0.097017075831628,OH-,water,1.78720510801083,2.76279074976734,164.136722341032,0.7312,0.7312
76,2851.7630000000004,0.052574542439064,0.09685881739201,OH-,water,1.78869218221659,2.76408968066483,164.029358871982,0.7318,0.7318
77,3523.355,0.03754343106881,0.066313760603571,OH-,hydroxide,3.0,3.5,100.0,0.9088,0.9088
78,3513.1250000000005,0.062195842623166,0.079824734738507,,hydroxide,3.0,3.5,100.0,0.8219,0.8219
