,Frequency,acceptor_type,Type,EFddec,EFfc,rHO,rOO,tOHO,sOH
0,2835.330710092461,H2O,water,,0.1102856499856652,1.7009493311623316,2.700507654675095,173.39478298909538,0.8296556197833312
1,3183.6450548328444,O2-,water,,0.0533095799922231,1.8039021829227344,2.768058107865619,164.4617854985046,0.8540419174687948
2,3035.0286111862542,O2-,water,,0.0569549651486794,1.7705753287856485,2.7502039748020373,167.8450871801484,0.8446880102232514
3,2897.650545547781,H2O,water,,0.11180975497735,1.711287699451001,2.708016586417004,173.47320524341805,0.8339390913649901
4,3294.220652921929,O2-,water,,0.0014282468246313,1.966437181219584,2.9455666725796386,173.30407725356244,0.8931100069057549
5,2927.987092873533,H2O,water,,0.1023157344071477,1.7317976656087304,2.7144473340943787,166.55511361688409,0.8493832203222594
6,2872.817176248757,H2O,water,,0.1024808085776079,1.7259506398475657,2.722278625849555,172.18213060123,0.8477965425269159
7,3361.4622133752905,O2-,water,,-0.0130051121318944,2.0892007462369184,3.0488504307238102,165.5274725020624,0.9096553379314798
8,2941.701494839016,O2-,water,,0.0832026940807754,1.7469538983703008,2.734822746243305,169.57192266078988,0.8442158201239627
9,3108.561684457411,O2-,water,,0.0493603469436159,1.8363930154647807,2.807267717888906,165.6945603919657,0.8593067658210961
10,2988.534247842677,O2-,water,,0.0758060075532933,1.7714680719988924,2.75024089231402,166.54849459742448,0.8503833066486384
11,2990.9424573108795,O2-,water,,0.0717054302114997,1.7304050787680472,2.7254549386267906,178.46235158730903,0.8354122648220885
12,3180.101563577685,O2-,water,,0.0363064031149735,1.850161136640544,2.804385381967978,161.50495846183776,0.8648264119196933
13,2806.2403833187013,H2O,water,,0.1202361348532652,1.697867660486884,2.6948654340245666,170.84039935979902,0.8332944271801401
14,3030.242901937532,O2-,water,,0.0460502500238171,1.7729702007995944,2.7586636172555017,170.6955451105455,0.8409233083337853
15,2906.9781184088383,H2O,water,,0.1118312978032207,1.732825868050971,2.7320655808355565,175.76128605698406,0.8365656385346386
16,3150.542221797069,O2-,water,,0.0376843307015336,1.8119670847132867,2.7981359424285697,174.91263884727246,0.8558809356880168
17,2817.552784215466,H2O,water,,0.130904604232343,1.7196754113069768,2.7246046194212425,178.42456191681703,0.8329630529366501
18,3341.959337112808,O2-,water,,-0.0005714463417991,1.9889488488943647,2.9586072634711904,169.38510710071245,0.8802120175138202
19,2769.235150346693,H2O,water,,0.1284304519967456,1.6767983290571922,2.680069107925509,173.79594780423733,0.8267873540171934
20,2745.076469619894,O2-,water,,0.0724749012382835,1.6595246999014457,2.6624257078444,173.37332293886337,0.8171970853863242
21,3011.161712188716,H2O,water,,0.0915233647018074,1.8145941428342465,2.7965498302969767,168.65292628573013,0.8653091221112137
22,3024.6833089455745,H2O,water,,0.0954552155752879,1.732674754716209,2.722343808548112,173.3905439194141,0.8414512816922907
23,3130.442602006834,H2O,water,,0.0658961437407722,1.8372354418572097,2.8157560226702527,169.08507743486513,0.8713626385758946
24,3203.437172380482,O2-,water,,0.0467757916367618,1.846326068510421,2.8315207177229538,176.7553277119508,0.866495104505227
